original_title,revenue,budget,popularity,actors_cnt,original_language,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,release_date,release_year,release_month,release_week,release_weekday,runtime,runtime_intervals,runtime_cat,is_collection,keywords_cnt,crew_total_cnt,crew_writing_cnt,crew_directing_cnt,crew_art_cnt,crew_sound_cnt,crew_costume_makeup_cnt,crew_visual_effects_cnt,crew_production_cnt,crew_actors_cnt,crew_camera_cnt,crew_lighting_cnt,crew_editing_cnt,sw_genre_action,sw_genre_adventure,sw_genre_animation,sw_genre_comedy,sw_genre_crime,sw_genre_documentary,sw_genre_drama,sw_genre_family,sw_genre_fantasy,sw_genre_foreign,sw_genre_history,sw_genre_horror,sw_genre_music,sw_genre_mystery,sw_genre_romance,sw_genre_science_fiction,sw_genre_thriller,sw_genre_tv_movie,sw_genre_war,sw_genre_western,genres_total,actor0_avg_revenue,actor0_avg_revenue_5y,actor0_blockbusters,actor0_blockbusters_5y,actor0_movies,actor0_movies_5y,actor0_gender,actor1_avg_revenue,actor1_avg_revenue_5y,actor1_blockbusters,actor1_blockbusters_5y,actor1_movies,actor1_movies_5y,actor1_gender,actor2_avg_revenue,actor2_avg_revenue_5y,actor2_blockbusters,actor2_blockbusters_5y,actor2_movies,actor2_movies_5y,actor2_gender,all_directors_avg_revenue,all_directors_avg_blockbusters,all_directors_avg_revenue_5y,all_directors_avg_blockbusters_5y,all_producers_avg_revenue,all_producers_avg_blockbusters,all_producers_avg_revenue_5y,all_producers_avg_blockbusters_5y
Lost in Space,213558955,125475828,12.000579,20,en,1,0,0,0,0,0,0,1998-04-03,1998,4,14,6,130,13,Long,0,3,120,3,5,13,16,0,0,23,0,7,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,205551069,123006648,10,1,15,2,2,62601423,32156104,4,0,13,2,2,68091212,NULL,1,0,2,0,2,85350267,1,NULL,0,155246938,2,377118872,0
Friday the 13th Part III,97202823,10597181,7.99229,16,en,1,0,0,0,0,0,0,1982-08-13,1982,8,33,6,95,10,Intermediate,0,9,11,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,24461348,NULL,0,0,2,0,1,36690067,NULL,0,0,1,0,2,36690067,NULL,0,0,1,0,0,20151791,0,NULL,0,NULL,NULL,NULL,NULL
V/H/S,111736,0,7.820787,30,en,1,0,0,0,0,0,0,2012-07-28,2012,7,30,7,116,12,Intermediate,0,13,19,6,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,7223673,NULL,0,0,2,0,2,7223673,NULL,0,0,2,0,2,61089,21833,0,0,2,1,2,587688,0,124798.3,0,61089,0,21833,0
InSight,19334,0,1.323333,19,en,1,0,0,0,0,0,0,2011-09-02,2011,9,36,6,92,9,Intermediate,0,0,10,2,1,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,20431547,NULL,0,0,2,0,2,17011,NULL,0,0,1,0,1,17011,NULL,0,0,1,0,2,17011,0,NULL,0,17011,0,NULL,0
Black Sheep,6274397,0,7.434577,13,en,1,0,0,0,0,0,0,2006-09-09,2006,9,36,7,87,9,Short,0,3,10,1,1,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4947717,NULL,0,0,1,0,2,4947717,NULL,0,0,1,0,2,4947717,NULL,0,0,1,0,1,4947717,0,NULL,0,4947717,0,NULL,0
Dr. Giggles,15312876,0,1.252367,15,en,1,0,0,0,0,0,0,1992-10-23,1992,10,43,6,95,10,Intermediate,0,0,14,2,1,1,1,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,114945177,NULL,1,0,3,0,2,57731875,NULL,1,0,3,0,1,12840990,NULL,0,0,5,0,0,8403433,0,NULL,0,8403433,0,NULL,0
The Spanish Prisoner,22037681,15928785,4.305735,6,en,1,0,0,0,0,0,0,1997-09-08,1997,9,37,2,110,11,Intermediate,0,4,18,1,2,4,1,0,0,7,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,75246171,365522,5,0,11,1,2,101316007,NULL,2,0,3,0,2,6265687,NULL,0,0,3,0,2,5515154,0,NULL,0,13835130,0,NULL,0
What If,8611634,12071872,10.841891,24,en,1,0,0,0,0,0,0,2013-09-07,2013,9,36,7,93,9,Intermediate,0,3,15,3,1,2,1,0,0,6,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,391867389,74321397,3,1,5,2,2,25794470,3930385,1,0,5,2,1,110872909,62427598,2,1,6,3,2,5344913,0,7847000,0,7111560.8,0,7084600.4,0
The Transformers: The Movie,13645102,13995821,6.759181,33,en,1,0,0,0,0,0,0,1986-08-08,1986,8,32,6,84,8,Short,0,6,18,1,1,0,1,0,0,13,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12971658,10000000,0,0,5,1,2,561860040,604942143,5,1,6,1,2,297955893,476188161,12,2,20,2,2,5849647,0,NULL,0,5849647,0,NULL,0
Changing Lanes,134913800,63949778,7.81862,11,en,1,0,0,0,0,0,0,2002-04-07,2002,4,15,1,89,9,Short,0,4,8,2,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,73313574,130865511,6,1,16,3,2,290182222,421208730,19,4,30,6,2,73629082,NULL,1,0,2,0,1,117484536,2,2225098,0,80487990,9,37688534,1
Intouchables,484721725,14775299,16.086919,32,fr,0,1,0,0,0,0,0,2011-11-02,2011,11,45,4,112,11,Intermediate,0,7,34,3,3,6,4,0,0,5,0,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119082881,NULL,1,0,4,0,0,259170203,217342536,3,2,5,4,2,288800045,NULL,2,0,2,0,1,426480871,1,NULL,0,426480871,1,NULL,0
Caché,47125714,0,5.69586,14,fr,0,1,0,0,0,0,0,2005-05-02,2005,5,19,2,117,12,Intermediate,0,15,18,1,1,2,1,0,0,9,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,32663434,NULL,0,0,2,0,2,30087138,8956700,1,0,9,3,1,36000000,NULL,0,0,1,0,1,36000000,0,NULL,0,36000000,0,NULL,0
The Last Witch Hunter,158492638,97077973,13.412445,22,en,1,0,0,0,0,0,0,2015-10-21,2015,10,43,4,106,11,Intermediate,0,4,92,4,4,7,8,0,0,7,0,11,0,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,380985633,822482760,8,4,11,4,2,73473114,73473114,1,1,2,2,1,303063848,73468518,7,1,13,2,2,133103198,2,146936910,1,260898809,2,398115738.3,2
ABCs of Death 2,7744,0,8.254856,31,en,1,0,0,0,0,0,0,2014-10-02,2014,10,40,5,125,13,Long,0,4,59,18,30,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7171,7171,0,0,1,1,2,40342,20009,0,0,3,2,0,7171,7171,0,0,1,1,0,429820,0,7522.8,0,7171,0,7171,0
Rush Hour 3,318211240,172657887,9.718111,18,en,1,0,0,0,0,0,0,2007-08-08,2007,8,32,4,91,9,Intermediate,0,1,18,2,1,3,1,0,0,5,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,196924027,NULL,4,0,6,0,2,132330707,NULL,6,0,11,0,2,135465549,222397938,3,1,6,2,0,292405015,5,NULL,0,190878763.8,5,202524801,0
Safe,44926195,33405533,8.234382,15,en,1,0,0,0,0,0,0,2012-04-16,2012,4,16,2,94,9,Intermediate,0,1,34,1,2,3,13,0,0,9,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,163019915,400531530,11,3,21,5,2,29184584,NULL,0,0,5,0,2,22996940,NULL,0,0,8,0,2,20714072,0,NULL,0,54762912,0,95000000,0
About Adam,225012,0,2.100499,15,en,1,0,0,0,0,0,0,2000-01-28,2000,1,5,6,105,11,Intermediate,0,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,38519240,44052842,2,1,7,4,1,81391636,320170008,3,1,6,1,1,151559,NULL,0,0,1,0,2,151559,0,NULL,0,NULL,NULL,NULL,NULL
Outbreak,318496887,83876969,13.676444,14,en,1,0,0,0,0,0,0,1995-03-10,1995,3,10,6,127,13,Long,0,8,13,2,1,1,1,0,0,4,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,78125179,NULL,6,0,13,0,2,148305162,NULL,3,0,5,0,1,131610244,132763967,13,5,27,6,2,173371999,4,NULL,0,195627745.5,3,NULL,0
Final: The Rapture,101074,0,0.32926,5,en,1,0,0,0,0,0,0,2013-09-13,2013,9,37,6,90,9,Intermediate,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,92100,92100,0,0,1,1,0,92100,92100,0,0,1,1,0,92100,92100,0,0,1,1,0,92100,0,92100,0,NULL,NULL,NULL,NULL
Major Dundee,120711,30841162,3.055936,14,en,1,0,0,0,0,0,0,1965-04-07,1965,4,15,4,123,12,Long,0,5,12,4,1,1,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,77795277,NULL,6,0,12,0,2,130354966,NULL,2,0,9,0,2,14873,NULL,0,0,1,0,2,1301769,0,NULL,0,20879796,0,NULL,0
Cocaine Cowboys,206707,0,2.941626,6,en,1,0,0,0,0,0,0,2006-04-26,2006,4,17,4,118,12,Intermediate,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163000,NULL,0,0,1,0,0,163000,NULL,0,0,1,0,0,163000,0,NULL,0,NULL,NULL,NULL,NULL
Cool Hand Luke,124137341,22963204,9.718713,32,en,1,0,0,0,0,0,0,1967-06-22,1967,6,25,5,126,13,Long,0,12,28,3,2,2,5,0,0,2,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113878317,350170057,3,1,9,1,2,39410250,NULL,2,0,9,0,2,16217773,NULL,0,0,1,0,2,16217773,0,NULL,0,63474276.5,1,NULL,0
The Next Best Thing,36170228,37116289,2.971999,11,en,1,0,0,0,0,0,0,2000-03-03,2000,3,10,6,108,11,Intermediate,0,10,12,1,1,3,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106442218,NULL,2,0,6,0,1,116598699,228136,1,0,7,1,2,90693523,83878889,4,1,9,2,2,24362772,0,NULL,0,97974669.3,1,201095803,0
5 Flights Up,1102518,6479547,9.383088,32,en,1,0,0,0,0,0,0,2014-09-05,2014,9,36,6,92,9,Intermediate,0,5,12,2,1,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131610244,132763967,13,5,27,6,2,163473310,351634732,6,1,12,3,1,33493449,1020921,0,0,3,1,1,4131051,0,1020921,0,976881.6,0,1020921,0
The Wedding Date,61754371,19635714,5.615303,10,en,1,0,0,0,0,0,0,2005-02-04,2005,2,6,6,88,9,Short,0,6,12,1,1,2,2,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,67293545,28208,1,0,4,1,1,48309418,2541554,4,0,10,1,2,131579448,243038454,5,2,11,4,1,47175038,0,NULL,0,52355263.5,0,NULL,0
La doppia ora,5124175,4655658,2.382068,15,it,0,0,0,0,0,1,0,2009-10-09,2009,10,41,6,95,10,Intermediate,0,11,7,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,5,4300000,NULL,0,0,1,0,0,4300000,NULL,0,0,1,0,2,4300000,NULL,0,0,1,0,1,4300000,0,NULL,0,NULL,NULL,NULL,NULL
Ice Age: The Meltdown,838165362,101451190,16.646029,42,en,1,0,0,0,0,0,0,2006-03-23,2006,3,12,5,91,9,Intermediate,0,11,10,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,468441605,408579038,4,1,5,1,2,167758173,234639519,8,1,18,2,2,427129342,408579038,5,1,6,1,2,577128257,4,500188435,1,521578081,5,338502836,2
The Hateful Eight,168009739,47460343,20.328822,18,en,1,0,0,0,0,0,0,2015-12-25,2015,12,52,6,167,17,Long,0,8,77,1,2,10,14,0,0,11,0,4,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,290182222,421208730,19,4,30,6,2,209064089,661803998,6,4,15,4,2,47006902,80709702,2,1,8,2,1,125460760,2,155760117,1,105043795.3,3,125823429,1
Wilson,682062,0,8.984386,44,en,1,0,0,0,0,0,0,2017-03-24,2017,3,12,6,94,9,Intermediate,0,8,31,2,2,4,7,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113395008,183698960,6,4,15,7,2,653951,653951,0,0,1,1,0,653951,653951,0,0,1,1,2,653951,0,653951,0,2838630.5,0,653951,0
Star Trek: Generations,207009717,65553077,8.105708,17,en,1,0,0,0,0,0,0,1994-11-17,1994,11,47,5,118,12,Intermediate,0,5,15,2,1,3,1,0,0,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,208953639,162790643,10,2,15,4,2,120000000,NULL,1,0,1,0,2,80408144,NULL,3,0,5,0,2,120000000,1,NULL,0,120000000,1,NULL,0
Aanrijding in Moscou,1781143,664960,1.572904,9,nl,0,0,0,0,0,0,0,2008-01-30,2008,1,5,4,102,10,Intermediate,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2291451,NULL,0,0,2,0,1,1500000,NULL,0,0,1,0,0,6712511,13162475,0,0,3,1,0,1500000,0,NULL,0,NULL,NULL,NULL,NULL
The Great Race,205607743,97393143,4.473327,17,en,1,0,0,0,0,0,0,1965-07-01,1965,7,27,5,160,16,Long,0,5,6,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25252016,NULL,0,0,7,0,2,21187144,NULL,0,0,9,0,2,14266667,NULL,0,0,2,0,1,17750237,0,NULL,0,18105720,0,NULL,0
The Last Flight of Noah's Ark,34128968,0,1.012665,13,en,1,0,0,0,0,0,0,1980-06-24,1980,6,26,3,97,10,Intermediate,0,5,7,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,70859906,NULL,2,0,7,0,2,32901720,NULL,1,0,3,0,0,56170235,NULL,1,0,3,0,0,8946049,0,NULL,0,11000000,0,NULL,0
For Keeps,37850533,0,5.410839,9,en,1,0,0,0,0,0,0,1988-01-15,1988,1,3,6,98,10,Intermediate,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,28002895,NULL,0,0,3,0,0,37531156,NULL,1,0,4,0,2,82621966,NULL,2,0,5,0,2,73968254,3,NULL,0,NULL,NULL,NULL,NULL
Risen,49073600,21304129,8.759801,30,en,1,0,0,0,0,0,0,2016-02-19,2016,2,8,6,107,11,Intermediate,0,12,21,3,1,4,1,0,0,8,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,468305677,31287514,2,0,4,2,2,80015104,46069568,7,0,14,1,2,154854492,1,46069568,0,27282186.7,0,32246378.7,0
Son in Law,64486072,0,9.122718,9,en,1,0,0,0,0,0,0,1993-07-02,1993,7,27,6,95,10,Intermediate,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,29770450,NULL,0,0,3,0,2,125802060,377791212,10,2,17,3,1,27180058,NULL,0,0,6,0,2,13735409,0,NULL,0,NULL,NULL,NULL,NULL
Joueuse,1259520,0,2.94798,9,fr,0,1,0,0,0,0,0,2009-08-05,2009,8,32,4,97,10,Intermediate,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1056938,NULL,0,0,1,0,1,169256620,1262886337,2,1,9,1,2,1056938,NULL,0,0,1,0,1,1056938,0,NULL,0,NULL,NULL,NULL,NULL
Batman & Robin,379435004,199109813,17.038824,14,en,1,0,0,0,0,0,0,1997-06-20,1997,6,25,6,125,13,Long,0,9,105,3,2,16,12,0,0,13,0,8,6,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,151651752,339609877,14,3,20,3,2,91478925,NULL,3,0,6,0,2,158803707,111840531,13,1,16,2,2,86440322,3,NULL,0,238207122,1,NULL,0
