customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
9763-GRSKD,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,13,PhoneService,NoMultipleLines,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Mailed check,49.95,587.45
7469-LKBCI,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,16,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NoPaperlessBilling,Credit card (automatic),18.95,326.8
8091-TTVAX,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,58,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,One year,NoPaperlessBilling,Credit card (automatic),100.35,5681.1
0280-XJGEX,Churning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,49,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),103.7,5036.3
5129-JLPIS,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,25,PhoneService,NoMultipleLines,Fiber optic,OnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,105.5,2686.05
3655-SNQYZ,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,69,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,NoPaperlessBilling,Credit card (automatic),113.25,7895.15
8191-XWSZG,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,52,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,NoPaperlessBilling,Mailed check,20.65,1022.95
9959-WOFKT,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,Dependents,71,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Two year,NoPaperlessBilling,Bank transfer (automatic),106.7,7382.25
4190-MFLUW,Churning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,10,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Credit card (automatic),55.2,528.35
4183-MYFRB,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,21,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,90.05,1862.9
8779-QRDMV,Churning,Male,Senior,NoPartner,NoDependents,1,NpPhoneService,No phone service,DSL,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,39.65,39.65
1680-VDCWW,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,12,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,NoPaperlessBilling,Bank transfer (automatic),19.8,202.25
1066-JKSGK,Churning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,1,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,NoPaperlessBilling,Mailed check,20.15,20.15
3638-WEABW,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,58,PhoneService,MultipleLines,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Two year,PaperlessBilling,Credit card (automatic),59.9,3505.1
6322-HRPFA,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,49,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Credit card (automatic),59.6,2970.3
6865-JZNKO,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,30,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),55.3,1530.6
6467-CHFZW,Churning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,47,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,99.35,4749.15
8665-UTDHZ,Churning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,1,NpPhoneService,No phone service,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Electronic check,30.2,30.2
5248-YGIJN,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,72,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Credit card (automatic),90.25,6369.45
8773-HHUOZ,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,Dependents,17,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Mailed check,64.7,1093.1
3841-NFECX,NonChurning,Female,Senior,Partner,NoDependents,71,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Two year,PaperlessBilling,Credit card (automatic),96.35,6766.95
4929-XIHVW,NonChurning,Male,Senior,Partner,NoDependents,2,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),95.5,181.65
6827-IEAUQ,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,27,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,One year,NoPaperlessBilling,Mailed check,66.15,1874.45
7310-EGVHZ,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,1,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,NoPaperlessBilling,Bank transfer (automatic),20.2,20.2
3413-BMNZE,NonChurning,Male,Senior,NoPartner,NoDependents,1,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Bank transfer (automatic),45.25,45.25
6234-RAAPL,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,72,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,NoDeviceProtection,TechSupport,StreamingTV,NoStreamingMovies,Two year,NoPaperlessBilling,Bank transfer (automatic),99.9,7251.7
6047-YHPVI,Churning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,5,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,69.7,316.9
6572-ADKRS,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,46,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),74.8,3548.3
5380-WJKOV,Churning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,34,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,106.35,3549.25
8168-UQWWF,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,11,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),97.85,1105.4
8865-TNMNX,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,10,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,One year,NoPaperlessBilling,Mailed check,49.55,475.7
9489-DEDVP,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,70,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Two year,PaperlessBilling,Credit card (automatic),69.2,4872.35
9867-JCZSP,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,17,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,NoPaperlessBilling,Mailed check,20.75,418.25
4671-VJLCL,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,63,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,NoStreamingMovies,Two year,PaperlessBilling,Credit card (automatic),79.85,4861.45
4080-IIARD,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,13,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,TechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,76.2,981.45
3714-NTNFO,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,49,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,84.5,3906.7
5948-UJZLF,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,2,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Mailed check,49.25,97
7760-OYPDY,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,2,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,80.65,144.15
7639-LIAYI,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,52,PhoneService,MultipleLines,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Credit card (automatic),79.75,4217.8
2954-PIBKO,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,69,PhoneService,MultipleLines,DSL,OnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Two year,PaperlessBilling,Credit card (automatic),64.15,4254.1
8012-SOUDQ,NonChurning,Female,Senior,NoPartner,NoDependents,43,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,90.25,3838.75
9420-LOJKX,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,15,PhoneService,NoMultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),99.1,1426.4
6575-SUVOI,NonChurning,Female,Senior,Partner,NoDependents,25,PhoneService,MultipleLines,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,TechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),69.5,1752.65
7495-OOKFY,Churning,Female,Senior,Partner,NoDependents,8,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),80.65,633.3
4667-QONEA,NonChurning,Female,Senior,Partner,Dependents,60,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,StreamingMovies,One year,PaperlessBilling,Credit card (automatic),74.85,4456.35
1658-BYGOY,Churning,Male,Senior,NoPartner,NoDependents,18,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,95.45,1752.55
8769-KKTPH,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,63,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,One year,PaperlessBilling,Credit card (automatic),99.65,6311.2
5067-XJQFU,NonChurning,Male,Senior,Partner,Dependents,66,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,One year,PaperlessBilling,Electronic check,108.45,7076.35
3957-SQXML,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,34,PhoneService,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NoPaperlessBilling,Credit card (automatic),24.95,894.3
5954-BDFSG,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,72,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Credit card (automatic),107.5,7853.7
0434-CSFON,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,47,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,100.5,4707.1
1215-FIGMP,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,60,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),89.9,5450.7
0526-SXDJP,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,72,NpPhoneService,No phone service,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Two year,NoPaperlessBilling,Bank transfer (automatic),42.1,2962
0557-ASKVU,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,18,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,One year,PaperlessBilling,Credit card (automatic),54.4,957.1
5698-BQJOH,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,9,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,NoPaperlessBilling,Electronic check,94.4,857.25
5122-CYFXA,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,3,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,TechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,75.3,244.1
8627-ZYGSZ,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,47,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,One year,PaperlessBilling,Electronic check,78.9,3650.35
3410-YOQBQ,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,31,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,NoPaperlessBilling,Mailed check,79.2,2497.2
3170-NMYVV,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,50,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NoPaperlessBilling,Bank transfer (automatic),20.15,930.9
7410-OIEDU,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,10,PhoneService,NoMultipleLines,Fiber optic,OnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Mailed check,79.85,887.35
2273-QCKXA,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,1,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Mailed check,49.05,49.05
0731-EBJQB,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,52,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,PaperlessBilling,Electronic check,20.4,1090.65
1891-QRQSA,NonChurning,Male,Senior,Partner,Dependents,64,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Bank transfer (automatic),111.6,7099
8028-PNXHQ,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,62,PhoneService,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,PaperlessBilling,Bank transfer (automatic),24.25,1424.6
5630-AHZIL,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,Dependents,3,PhoneService,NoMultipleLines,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,TechSupport,NoStreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),64.5,177.4
2673-CXQEU,NonChurning,Female,Senior,NoPartner,NoDependents,56,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,One year,NoPaperlessBilling,Electronic check,110.5,6139.5
6416-JNVRK,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,46,PhoneService,NoMultipleLines,DSL,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,StreamingMovies,One year,NoPaperlessBilling,Credit card (automatic),55.65,2688.85
5590-ZSKRV,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,8,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Mailed check,54.65,482.25
0191-ZHSKZ,NonChurning,Male,Senior,NoPartner,NoDependents,30,PhoneService,NoMultipleLines,DSL,OnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Electronic check,74.75,2111.3
3887-PBQAO,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,45,PhoneService,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,PaperlessBilling,Credit card (automatic),25.9,1216.6
5919-TMRGD,Churning,Female,"NonSeniorCitizen
Senior",NoPartner,Dependents,1,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Electronic check,79.35,79.35
8108-UXRQN,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,11,NpPhoneService,No phone service,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,NoPaperlessBilling,Electronic check,50.55,565.35
9191-MYQKX,Churning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,7,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),75.15,496.9
9919-YLNNG,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,42,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Bank transfer (automatic),103.8,4327.5
0318-ZOPWS,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,49,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,PaperlessBilling,Bank transfer (automatic),20.15,973.35
4445-ZJNMU,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,9,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),99.3,918.75
4808-YNLEU,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,NoDependents,35,PhoneService,NoMultipleLines,DSL,OnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,One year,PaperlessBilling,Bank transfer (automatic),62.15,2215.45
1862-QRWPE,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,48,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,NoPaperlessBilling,Bank transfer (automatic),20.65,1057
2796-NNUFI,NonChurning,Female,"NonSeniorCitizen
Senior",Partner,Dependents,46,PhoneService,NoMultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,PaperlessBilling,Mailed check,19.95,927.1
3016-KSVCP,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,NoDependents,29,NpPhoneService,No phone service,DSL,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,NoTechSupport,StreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Mailed check,33.75,1009.25
4767-HZZHQ,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,30,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Bank transfer (automatic),82.05,2570.2
2424-WVHPL,NonChurning,Male,Senior,NoPartner,NoDependents,1,PhoneService,NoMultipleLines,Fiber optic,NpOnlineSecurity,NoOnlineBackup,NoDeviceProtection,TechSupport,NoStreamingTV,NoStreamingMovies,Month-to-month,NoPaperlessBilling,Electronic check,74.7,74.7
7233-PAHHL,NonChurning,Male,"NonSeniorCitizen
Senior",Partner,Dependents,66,PhoneService,MultipleLines,DSL,OnlineSecurity,NoOnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Mailed check,84,5714.25
6067-NGCEU,NonChurning,Female,"NonSeniorCitizen
Senior",NoPartner,NoDependents,65,PhoneService,MultipleLines,Fiber optic,OnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Month-to-month,PaperlessBilling,Credit card (automatic),111.05,7107
9848-JQJTX,NonChurning,Male,"NonSeniorCitizen
Senior",NoPartner,NoDependents,72,PhoneService,MultipleLines,Fiber optic,NpOnlineSecurity,OnlineBackup,DeviceProtection,NoTechSupport,StreamingTV,StreamingMovies,Two year,PaperlessBilling,Bank transfer (automatic),100.9,7459.05
