movie_id,original_title,revenue,budget,popularity,actors_cnt,original_language,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,release_date,release_year,release_month,release_week,release_weekday,runtime,runtime_intervals,runtime_cat,is_collection,keywords_cnt,crew_total_cnt,crew_writing_cnt,crew_directing_cnt,crew_art_cnt,crew_sound_cnt,crew_costume_makeup_cnt,crew_visual_effects_cnt,crew_production_cnt,crew_actors_cnt,crew_camera_cnt,crew_lighting_cnt,crew_editing_cnt,sw_genre_action,sw_genre_adventure,sw_genre_animation,sw_genre_comedy,sw_genre_crime,sw_genre_documentary,sw_genre_drama,sw_genre_family,sw_genre_fantasy,sw_genre_foreign,sw_genre_history,sw_genre_horror,sw_genre_music,sw_genre_mystery,sw_genre_romance,sw_genre_science_fiction,sw_genre_thriller,sw_genre_tv_movie,sw_genre_war,sw_genre_western,genres_total,actor0_avg_revenue,actor0_avg_revenue_5y,actor0_blockbusters,actor0_blockbusters_5y,actor0_movies,actor0_movies_5y,actor0_gender,actor1_avg_revenue,actor1_avg_revenue_5y,actor1_blockbusters,actor1_blockbusters_5y,actor1_movies,actor1_movies_5y,actor1_gender,actor2_avg_revenue,actor2_avg_revenue_5y,actor2_blockbusters,actor2_blockbusters_5y,actor2_movies,actor2_movies_5y,actor2_gender,all_directors_avg_revenue,all_directors_avg_blockbusters,all_directors_avg_revenue_5y,all_directors_avg_blockbusters_5y,all_producers_avg_revenue,all_producers_avg_blockbusters,all_producers_avg_revenue_5y,all_producers_avg_blockbusters_5y
11,Rocky,117235147,1000000,14.774066,37,en,1,0,0,0,0,0,0,1976-11-21,1976,11,48,1,119,12,Intermediate,0,16,31,1,4,3,3,0,0,6,0,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165665154,534794343,14,2,21,2,2,155599451,NULL,6,0,7,0,1,120853671,NULL,4,0,6,0,2,73968254,3,NULL,0,115956082.5,4,NULL,0
12,Revenge of the Nerds II: Nerds in Paradise,22642033,0,10.54375,14,en,1,0,0,0,0,0,0,1987-07-10,1987,7,28,6,98,10,Intermediate,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10797103,NULL,0,0,8,0,2,64926233,151165787,2,1,5,1,2,16169886,NULL,0,0,2,0,2,18648831,0,NULL,0,NULL,NULL,NULL,NULL
13,American Beauty,356296601,15000000,20.726578,40,en,1,0,0,0,0,0,0,1999-09-15,1999,9,38,4,122,12,Long,0,21,109,3,5,11,19,0,0,11,0,7,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116194070,112783303,6,1,14,2,2,89515317,350006,3,0,8,1,1,267174094,NULL,2,0,2,0,1,337190156,3,880674609,1,238042634.5,1,6174491,0
14,Be Cool,95226116,53000000,13.314233,59,en,1,0,0,0,0,0,0,2005-03-04,2005,3,10,6,118,12,Intermediate,0,8,18,2,1,4,1,0,0,7,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105983477,NULL,6,0,12,0,2,85765871,36606743,4,0,10,1,1,72980110,22002094,6,0,16,2,2,85965783,2,NULL,0,62479890.8,3,35716676,0
15,Minority Report,358372926,102000000,20.666063,23,en,1,0,0,0,0,0,0,2002-06-20,2002,6,25,5,145,15,Long,0,9,156,4,4,19,17,0,0,21,0,15,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,205640507,407778013,9,1,15,1,2,93024424,103175255,6,1,14,3,2,321256013,NULL,2,0,2,0,1,417390523,10,165478348,1,246244045.3,2,15795033.7,0
16,Šišanje,198,500000,1.018477,13,sr,0,0,0,0,0,0,0,2010-10-06,2010,10,41,4,97,10,Intermediate,0,2,25,4,1,1,4,0,0,2,0,3,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,198,NULL,0,0,1,0,2,198,NULL,0,0,1,0,0,198,NULL,0,0,1,0,0,198,0,NULL,0,198,0,NULL,0
17,Red Eye,57891803,26000000,6.336927,24,en,1,0,0,0,0,0,0,2005-08-04,2005,8,32,5,85,9,Short,0,4,35,1,2,4,1,0,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,102107552,28486530,6,1,10,4,1,203268808,32824615,6,1,11,3,2,94302578,243637091,7,1,18,1,2,41920645,1,NULL,0,50633329,1,14947,0
18,The Invisible Woman,1234254,0,4.183558,19,en,1,0,0,0,0,0,0,2013-12-25,2013,12,52,4,111,11,Intermediate,0,2,31,2,1,7,6,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,190447827,294630456,5,1,9,3,2,38009385,59088070,2,2,10,6,1,10168271,1528252,0,0,4,2,1,1153428,0,1234254,0,1214047.5,0,1234254,0
19,Chalet Girl,1749457,8000000,6.496259,23,en,1,0,0,0,0,0,0,2011-02-02,2011,2,6,4,96,10,Intermediate,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,38009385,59088070,2,2,10,6,1,2924729,NULL,0,0,2,0,2,51804249,NULL,1,0,5,0,1,20927500,0,NULL,0,NULL,NULL,NULL,NULL
20,Transporter 2,85167639,32000000,11.359659,10,en,1,0,0,0,0,0,0,2005-08-02,2005,8,32,3,87,9,Short,0,5,17,4,2,0,1,0,0,6,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,163019915,400531530,11,3,21,5,2,85167639,NULL,1,0,1,0,1,116524091,NULL,2,0,2,0,1,67994599,2,71440912,1,52233764.5,1,41555433,0
21,Lost in Space,136159423,80000000,12.000579,20,en,1,0,0,0,0,0,0,1998-04-03,1998,4,14,6,130,13,Long,0,3,120,3,5,13,16,0,0,23,0,7,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,205551069,123006648,10,1,15,2,2,62601423,32156104,4,0,13,2,2,68091212,NULL,1,0,2,0,2,85350267,1,NULL,0,155246938,2,377118872,0
22,Friday the 13th Part III,36690067,4000000,7.99229,16,en,1,0,0,0,0,0,0,1982-08-13,1982,8,33,6,95,10,Intermediate,0,9,11,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,24461348,NULL,0,0,2,0,1,36690067,NULL,0,0,1,0,2,36690067,NULL,0,0,1,0,0,20151791,0,NULL,0,NULL,NULL,NULL,NULL
23,V/H/S,100345,0,7.820787,30,en,1,0,0,0,0,0,0,2012-07-28,2012,7,30,7,116,12,Intermediate,0,13,19,6,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,7223673,NULL,0,0,2,0,2,7223673,NULL,0,0,2,0,2,61089,21833,0,0,2,1,2,587688,0,124798.3,0,61089,0,21833,0
24,InSight,17011,0,1.323333,19,en,1,0,0,0,0,0,0,2011-09-02,2011,9,36,6,92,9,Intermediate,0,0,10,2,1,0,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,20431547,NULL,0,0,2,0,2,17011,NULL,0,0,1,0,1,17011,NULL,0,0,1,0,2,17011,0,NULL,0,17011,0,NULL,0
25,Black Sheep,4947717,0,7.434577,13,en,1,0,0,0,0,0,0,2006-09-09,2006,9,36,7,87,9,Short,0,3,10,1,1,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4947717,NULL,0,0,1,0,2,4947717,NULL,0,0,1,0,2,4947717,NULL,0,0,1,0,1,4947717,0,NULL,0,4947717,0,NULL,0
26,Dr. Giggles,8403433,0,1.252367,15,en,1,0,0,0,0,0,0,1992-10-23,1992,10,43,6,95,10,Intermediate,0,0,14,2,1,1,1,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,114945177,NULL,1,0,3,0,2,57731875,NULL,1,0,3,0,1,12840990,NULL,0,0,5,0,0,8403433,0,NULL,0,8403433,0,NULL,0
27,The Spanish Prisoner,13835130,10000000,4.305735,6,en,1,0,0,0,0,0,0,1997-09-08,1997,9,37,2,110,11,Intermediate,0,4,18,1,2,4,1,0,0,7,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,75246171,365522,5,0,11,1,2,101316007,NULL,2,0,3,0,2,6265687,NULL,0,0,3,0,2,5515154,0,NULL,0,13835130,0,NULL,0
28,What If,7847000,11000000,10.841891,24,en,1,0,0,0,0,0,0,2013-09-07,2013,9,36,7,93,9,Intermediate,0,3,15,3,1,2,1,0,0,6,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,391867389,74321397,3,1,5,2,2,25794470,3930385,1,0,5,2,1,110872909,62427598,2,1,6,3,2,5344913,0,7847000,0,7111560.8,0,7084600.4,0
29,The Transformers: The Movie,5849647,6000000,6.759181,33,en,1,0,0,0,0,0,0,1986-08-08,1986,8,32,6,84,8,Short,0,6,18,1,1,0,1,0,0,13,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12971658,10000000,0,0,5,1,2,561860040,604942143,5,1,6,1,2,297955893,476188161,12,2,20,2,2,5849647,0,NULL,0,5849647,0,NULL,0
30,Changing Lanes,94935764,45000000,7.81862,11,en,1,0,0,0,0,0,0,2002-04-07,2002,4,15,1,89,9,Short,0,4,8,2,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,73313574,130865511,6,1,16,3,2,290182222,421208730,19,4,30,6,2,73629082,NULL,1,0,2,0,1,117484536,2,2225098,0,80487990,9,37688534,1
31,Intouchables,426480871,13000000,16.086919,32,fr,0,1,0,0,0,0,0,2011-11-02,2011,11,45,4,112,11,Intermediate,0,7,34,3,3,6,4,0,0,5,0,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119082881,NULL,1,0,4,0,0,259170203,217342536,3,2,5,4,2,288800045,NULL,2,0,2,0,1,426480871,1,NULL,0,426480871,1,NULL,0
32,Caché,36000000,0,5.69586,14,fr,0,1,0,0,0,0,0,2005-05-02,2005,5,19,2,117,12,Intermediate,0,15,18,1,1,2,1,0,0,9,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,32663434,NULL,0,0,2,0,2,30087138,8956700,1,0,9,3,1,36000000,NULL,0,0,1,0,1,36000000,0,NULL,0,36000000,0,NULL,0
33,The Last Witch Hunter,146936910,90000000,13.412445,22,en,1,0,0,0,0,0,0,2015-10-21,2015,10,43,4,106,11,Intermediate,0,4,92,4,4,7,8,0,0,7,0,11,0,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,380985633,822482760,8,4,11,4,2,73473114,73473114,1,1,2,2,1,303063848,73468518,7,1,13,2,2,133103198,2,146936910,1,260898809,2,398115738.3,2
34,ABCs of Death 2,7171,0,8.254856,31,en,1,0,0,0,0,0,0,2014-10-02,2014,10,40,5,125,13,Long,0,4,59,18,30,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7171,7171,0,0,1,1,2,40342,20009,0,0,3,2,0,7171,7171,0,0,1,1,0,429820,0,7522.8,0,7171,0,7171,0
35,Rush Hour 3,258022233,140000000,9.718111,18,en,1,0,0,0,0,0,0,2007-08-08,2007,8,32,4,91,9,Intermediate,0,1,18,2,1,3,1,0,0,5,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,196924027,NULL,4,0,6,0,2,132330707,NULL,6,0,11,0,2,135465549,222397938,3,1,6,2,0,292405015,5,NULL,0,190878763.8,5,202524801,0
36,Safe,40346186,30000000,8.234382,15,en,1,0,0,0,0,0,0,2012-04-16,2012,4,16,2,94,9,Intermediate,0,1,34,1,2,3,13,0,0,9,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,163019915,400531530,11,3,21,5,2,29184584,NULL,0,0,5,0,2,22996940,NULL,0,0,8,0,2,20714072,0,NULL,0,54762912,0,95000000,0
37,About Adam,151559,0,2.100499,15,en,1,0,0,0,0,0,0,2000-01-28,2000,1,5,6,105,11,Intermediate,0,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,38519240,44052842,2,1,7,4,1,81391636,320170008,3,1,6,1,1,151559,NULL,0,0,1,0,2,151559,0,NULL,0,NULL,NULL,NULL,NULL
38,Outbreak,189859560,50000000,13.676444,14,en,1,0,0,0,0,0,0,1995-03-10,1995,3,10,6,127,13,Long,0,8,13,2,1,1,1,0,0,4,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,78125179,NULL,6,0,13,0,2,148305162,NULL,3,0,5,0,1,131610244,132763967,13,5,27,6,2,173371999,4,NULL,0,195627745.5,3,NULL,0
39,Final: The Rapture,92100,0,0.32926,5,en,1,0,0,0,0,0,0,2013-09-13,2013,9,37,6,90,9,Intermediate,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,92100,92100,0,0,1,1,0,92100,92100,0,0,1,1,0,92100,92100,0,0,1,1,0,92100,0,92100,0,NULL,NULL,NULL,NULL
40,Major Dundee,14873,3800000,3.055936,14,en,1,0,0,0,0,0,0,1965-04-07,1965,4,15,4,123,12,Long,0,5,12,4,1,1,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,77795277,NULL,6,0,12,0,2,130354966,NULL,2,0,9,0,2,14873,NULL,0,0,1,0,2,1301769,0,NULL,0,20879796,0,NULL,0
41,Cocaine Cowboys,163000,0,2.941626,6,en,1,0,0,0,0,0,0,2006-04-26,2006,4,17,4,118,12,Intermediate,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163000,NULL,0,0,1,0,0,163000,NULL,0,0,1,0,0,163000,0,NULL,0,NULL,NULL,NULL,NULL
42,Cool Hand Luke,16217773,3000000,9.718713,32,en,1,0,0,0,0,0,0,1967-06-22,1967,6,25,5,126,13,Long,0,12,28,3,2,2,5,0,0,2,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113878317,350170057,3,1,9,1,2,39410250,NULL,2,0,9,0,2,16217773,NULL,0,0,1,0,2,16217773,0,NULL,0,63474276.5,1,NULL,0
43,The Next Best Thing,24362772,25000000,2.971999,11,en,1,0,0,0,0,0,0,2000-03-03,2000,3,10,6,108,11,Intermediate,0,10,12,1,1,3,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106442218,NULL,2,0,6,0,1,116598699,228136,1,0,7,1,2,90693523,83878889,4,1,9,2,2,24362772,0,NULL,0,97974669.3,1,201095803,0
44,5 Flights Up,1020921,6000000,9.383088,32,en,1,0,0,0,0,0,0,2014-09-05,2014,9,36,6,92,9,Intermediate,0,5,12,2,1,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131610244,132763967,13,5,27,6,2,163473310,351634732,6,1,12,3,1,33493449,1020921,0,0,3,1,1,4131051,0,1020921,0,976881.6,0,1020921,0
45,The Wedding Date,47175038,15000000,5.615303,10,en,1,0,0,0,0,0,0,2005-02-04,2005,2,6,6,88,9,Short,0,6,12,1,1,2,2,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,67293545,28208,1,0,4,1,1,48309418,2541554,4,0,10,1,2,131579448,243038454,5,2,11,4,1,47175038,0,NULL,0,52355263.5,0,NULL,0
46,La doppia ora,4300000,3906840,2.382068,15,it,0,0,0,0,0,1,0,2009-10-09,2009,10,41,6,95,10,Intermediate,0,11,7,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,5,4300000,NULL,0,0,1,0,0,4300000,NULL,0,0,1,0,2,4300000,NULL,0,0,1,0,1,4300000,0,NULL,0,NULL,NULL,NULL,NULL
47,Ice Age: The Meltdown,660940780,80000000,16.646029,42,en,1,0,0,0,0,0,0,2006-03-23,2006,3,12,5,91,9,Intermediate,0,11,10,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,468441605,408579038,4,1,5,1,2,167758173,234639519,8,1,18,2,2,427129342,408579038,5,1,6,1,2,577128257,4,500188435,1,521578081,5,338502836,2
48,The Hateful Eight,155760117,44000000,20.328822,18,en,1,0,0,0,0,0,0,2015-12-25,2015,12,52,6,167,17,Long,0,8,77,1,2,10,14,0,0,11,0,4,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,290182222,421208730,19,4,30,6,2,209064089,661803998,6,4,15,4,2,47006902,80709702,2,1,8,2,1,125460760,2,155760117,1,105043795.3,3,125823429,1
49,Wilson,653951,0,8.984386,44,en,1,0,0,0,0,0,0,2017-03-24,2017,3,12,6,94,9,Intermediate,0,8,31,2,2,4,7,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113395008,183698960,6,4,15,7,2,653951,653951,0,0,1,1,0,653951,653951,0,0,1,1,2,653951,0,653951,0,2838630.5,0,653951,0
50,Star Trek: Generations,120000000,38000000,8.105708,17,en,1,0,0,0,0,0,0,1994-11-17,1994,11,47,5,118,12,Intermediate,0,5,15,2,1,3,1,0,0,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,208953639,162790643,10,2,15,4,2,120000000,NULL,1,0,1,0,2,80408144,NULL,3,0,5,0,2,120000000,1,NULL,0,120000000,1,NULL,0
51,Aanrijding in Moscou,1500000,560000,1.572904,9,nl,0,0,0,0,0,0,0,2008-01-30,2008,1,5,4,102,10,Intermediate,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2291451,NULL,0,0,2,0,1,1500000,NULL,0,0,1,0,0,6712511,13162475,0,0,3,1,0,1500000,0,NULL,0,NULL,NULL,NULL,NULL
52,The Great Race,25333333,12000000,4.473327,17,en,1,0,0,0,0,0,0,1965-07-01,1965,7,27,5,160,16,Long,0,5,6,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25252016,NULL,0,0,7,0,2,21187144,NULL,0,0,9,0,2,14266667,NULL,0,0,2,0,1,17750237,0,NULL,0,18105720,0,NULL,0
53,The Last Flight of Noah's Ark,11000000,0,1.012665,13,en,1,0,0,0,0,0,0,1980-06-24,1980,6,26,3,97,10,Intermediate,0,5,7,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,70859906,NULL,2,0,7,0,2,32901720,NULL,1,0,3,0,0,56170235,NULL,1,0,3,0,0,8946049,0,NULL,0,11000000,0,NULL,0
54,For Keeps,17514553,0,5.410839,9,en,1,0,0,0,0,0,0,1988-01-15,1988,1,3,6,98,10,Intermediate,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,28002895,NULL,0,0,3,0,0,37531156,NULL,1,0,4,0,2,82621966,NULL,2,0,5,0,2,73968254,3,NULL,0,NULL,NULL,NULL,NULL
55,Risen,46069568,20000000,8.759801,30,en,1,0,0,0,0,0,0,2016-02-19,2016,2,8,6,107,11,Intermediate,0,12,21,3,1,4,1,0,0,8,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,468305677,31287514,2,0,4,2,2,80015104,46069568,7,0,14,1,2,154854492,1,46069568,0,27282186.7,0,32246378.7,0
56,Son in Law,36448200,0,9.122718,9,en,1,0,0,0,0,0,0,1993-07-02,1993,7,27,6,95,10,Intermediate,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,29770450,NULL,0,0,3,0,2,125802060,377791212,10,2,17,3,1,27180058,NULL,0,0,6,0,2,13735409,0,NULL,0,NULL,NULL,NULL,NULL
57,Joueuse,1056938,0,2.94798,9,fr,0,1,0,0,0,0,0,2009-08-05,2009,8,32,4,97,10,Intermediate,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1056938,NULL,0,0,1,0,1,169256620,1262886337,2,1,9,1,2,1056938,NULL,0,0,1,0,1,1056938,0,NULL,0,NULL,NULL,NULL,NULL
58,Batman & Robin,238207122,125000000,17.038824,14,en,1,0,0,0,0,0,0,1997-06-20,1997,6,25,6,125,13,Long,0,9,105,3,2,16,12,0,0,13,0,8,6,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,151651752,339609877,14,3,20,3,2,91478925,NULL,3,0,6,0,2,158803707,111840531,13,1,16,2,2,86440322,3,NULL,0,238207122,1,NULL,0
